Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
6154535511,2021-07-07 01:05:07,2021-07-06 12:35:00,Walnut Creek,California,925,Dropped call or no message,Y
9259544491,2021-07-07 01:05:45,2021-07-06 16:33:00,,California,925,Dropped call or no message,Y
6504704213,2021-07-07 01:06:20,2021-07-06 08:03:00,,California,650,No Subject Provided,N
4153015588,2021-07-07 01:06:11,2021-07-06 11:43:00,Walnut Creek,California,925,Dropped call or no message,Y
9163783427,2021-07-07 01:06:56,2021-07-05 17:06:00,Walnut Creek,California,925,Dropped call or no message,Y
5745169311,2021-07-07 01:07:35,2021-07-06 12:23:00,,California,650,No Subject Provided,N
,2021-07-07 01:07:33,2021-07-06 08:26:00,Anderson,California,530,Warranties  & protection plans,Y
9255749928,2021-07-07 01:07:46,2021-07-05 09:00:00,Walnut Creek,California,925,Dropped call or no message,Y
8189244284,2021-07-07 01:07:49,2021-07-06 10:52:00,Cloverdale,California,310,Warranties  & protection plans,Y
2533070504,2021-07-07 01:08:18,2021-07-01 15:30:00,,Washington,425,Other,Y
3024501267,2021-07-07 01:08:51,2021-07-06 14:15:00,,California,650,No Subject Provided,N
5395380628,2021-07-07 01:08:48,2021-07-06 13:26:00,Walnut Creek,California,925,Dropped call or no message,Y
6509341601,2021-07-07 01:10:10,2021-07-06 17:34:00,,California,650,No Subject Provided,N
7143453874,2021-07-07 01:09:50,2021-07-06 19:02:00,mililani,Hawaii,808,Other,
5094854654,2021-07-07 01:10:24,2021-07-01 00:00:00,,Washington,425,Other,Y
6199040696,2021-07-07 01:12:52,2021-07-06 21:54:00,,Texas,979,No Subject Provided,Y
4252375621,2021-07-07 01:13:04,2021-07-02 10:42:00,,Washington,425,Other,Y
4082383618,2021-07-07 01:13:10,2021-07-06 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4082383618,2021-07-07 01:14:04,2021-07-06 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2126429811,2021-07-07 01:16:04,2021-07-06 07:57:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
2126429811,2021-07-07 01:16:47,2021-07-06 21:02:00,San Jose,California,408,"Calls pretending to be government, businesses, or family and friends",Y
4089632946,2021-07-07 01:20:17,2021-07-06 13:37:00,Dallas,Texas,318,Dropped call or no message,Y
2062791676,2021-07-07 01:20:41,2021-07-06 13:25:00,Seattle,Washington,206,"Calls pretending to be government, businesses, or family and friends",N
9508409827,2021-07-07 01:20:58,2021-07-07 00:01:00,,Kansas,620,Vacation  & timeshares,N
8579307145,2021-07-07 01:21:20,2021-07-06 16:37:00,Bedford,Massachusetts,781,"Energy, solar,  & utilities",N
6314752811,2021-07-07 01:23:32,2021-07-06 14:00:00,East Patchogue,New York,631,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2021-07-07 01:23:34,2021-07-01 11:28:00,Sacramento,California,916,Warranties  & protection plans,Y
,2021-07-07 01:24:13,2021-07-01 17:28:00,Dallas,Texas,318,Other,Y
8137305813,2021-07-07 01:24:40,2021-07-06 13:57:00,Dover,Florida,813,Warranties  & protection plans,N
8435944614,2021-07-07 01:28:25,2021-07-06 14:00:00,East Patchogue,New York,631,Warranties  & protection plans,Y
4793751199,2021-07-07 01:28:59,2021-05-14 17:45:00,Honolulu,Hawaii,808,Other,Y
6313021186,2021-07-07 01:29:48,2021-07-06 11:26:00,East Patchogue,New York,631,"Reducing your debt (credit cards, mortgage, student loans)",Y
4242364366,2021-07-07 01:35:11,2021-07-06 10:34:00,Irvine,California,949,Warranties  & protection plans,Y
8668648918,2021-07-07 01:35:22,2021-05-15 12:33:00,Honolulu,Hawaii,808,Medical  & prescriptions,Y
9252429425,2021-07-07 01:35:23,2021-07-06 09:31:00,Orinda,California,925,Medical  & prescriptions,Y
6282158206,2021-07-07 01:36:26,2021-07-06 14:00:00,Orinda,California,925,Other,Y
8322413431,2021-07-07 01:36:35,2021-07-06 10:00:00,houston,Texas,832,Other,Y
7867441810,2021-07-07 01:36:37,2021-04-22 09:01:00,Miramar,Florida,786,Warranties  & protection plans,Y
2183959566,2021-07-07 01:36:38,2021-07-06 11:49:00,clinton,Maryland,301,"Calls pretending to be government, businesses, or family and friends",Y
